trial,failed,cause,disp_r_R_m,disp_r_T_m,disp_r_N_m,disp_v_R_mps,disp_v_T_mps,disp_v_N_mps,disp_r_norm_m,disp_v_norm_mps,predicted_miss_m,t_closest_s,min_range_m,r_cor_entry_t_s,r_cor_entry_speed_mps,dv_tag_total_mps,dv_node_total_mps,tag_ddm_duty,tag_medt_duty,tag_sat_cmd_frac,terminal_sat_frac,terminal_sat_steps,terminal_steps
347,True,no_R_COR_moderate_coupled_dispersion,44.83919168594697,-142.32524492822364,2.6535943718640773,0.009122751782941661,-0.01409452568168381,0.005283793942198569,149.24499997661005,0.017601100326639356,7.455410029308222e-05,6780.0,49.20455700984868,nan,nan,0.7427663048218995,0.0,0.6439972241498959,1.0,0.25607217210270644,0.0,0,0
354,True,no_R_COR_moderate_coupled_dispersion,38.34544534999988,-142.7810266264776,-12.494058532864067,-0.018314590069219695,0.023196658444585322,-0.0020733880470398865,148.3674365965233,0.02962782662282065,7.455410029308222e-05,6860.0,29.381951408762664,nan,nan,0.7867656324962452,0.0,0.6280360860513532,1.0,0.28452463566967384,0.0,0,0
359,True,no_R_COR_large_alongtrack_velocity_dispersion,-41.25346460202238,-15.864080456581462,-1.0925624705757926,-0.007997933714179294,-0.04171613589879802,-0.0014798112738599566,44.21211466504757,0.04250167972480186,7.455410029308222e-05,6925.0,10.196226284373585,nan,nan,1.063158631961525,0.0,0.5787647467036781,1.0,0.24080499653018736,0.0,0,0
368,True,no_R_COR_moderate_coupled_dispersion,46.69931531836551,-133.79043110516318,15.812372759140558,0.0013424222859903835,0.013624597202391495,-0.0025630278899711704,142.5858921449929,0.013928419095005286,7.455410029308222e-05,6600.0,88.61258916345483,nan,nan,0.7217315353481304,0.0,0.5829285218598196,1.0,0.30950728660652327,0.0,0,0
371,True,no_R_COR_large_alongtrack_velocity_dispersion,49.17025458292636,193.9514223722258,-19.404079650561634,0.007717290549661228,0.0471978959383033,-0.004474308543125314,201.02583536213615,0.048033502801376894,7.455410029308222e-05,6935.0,13.326665962359495,nan,nan,0.9526310458627041,0.0,0.31714087439278277,1.0,0.3678001387925052,0.0,0,0
374,True,no_R_COR_moderate_coupled_dispersion,41.12428932388134,10.252883644471922,12.070588207197929,-0.018703284158671445,0.02989490861943249,-0.002576022601392374,44.068445571509855,0.03535752101218514,7.455410029308222e-05,6820.0,46.90410312098209,nan,nan,1.011588678712922,0.0,0.31297709923664124,1.0,0.35808466342817485,0.0,0,0
376,True,no_R_COR_large_alongtrack_velocity_dispersion,44.85668589856614,-105.39502837949203,-14.467572681411337,0.007039914633734701,0.04444194469881553,-0.000504923672588288,115.45364843177747,0.04499890881541451,7.455410029308222e-05,6560.0,83.13858100449386,nan,nan,0.7435961705341226,0.0,0.31228313671061764,1.0,0.3546148507980569,0.0,0,0
413,True,no_R_COR_large_alongtrack_velocity_dispersion,-46.80788467744035,186.8095073426756,18.432460697131532,0.009257876053700383,-0.04865382552287159,0.0025557296996526445,193.46453346528665,0.04959268858746616,7.455410029308222e-05,6940.0,15.106549954970749,nan,nan,0.8878512602376734,0.0,0.7251908396946565,1.0,0.2338653712699514,0.0,0,0
418,True,no_R_COR_moderate_coupled_dispersion,-47.49612411223999,82.94101751338616,2.7549739434742015,0.008502840388296084,-0.019845498634552775,9.396683908836911e-05,95.61738373993693,0.021590528953449088,7.455410029308222e-05,6930.0,12.346896614542919,nan,nan,0.8747424082819243,0.0,0.3830673143650243,1.0,0.1963913948646773,0.0,0,0
434,True,no_R_COR_large_alongtrack_velocity_dispersion,36.28480223799704,-116.54417091890923,19.138019996064756,0.0028474927194040017,0.037616802544645486,0.00011725608685538708,123.55320496853271,0.03772460466936414,7.455410029308222e-05,6750.0,66.21081654997838,nan,nan,0.8099969955046824,0.0,0.5954198473282443,1.0,0.3039555863983345,0.0,0,0
